Title,TitleAr,Category,Calories,TimeMin,AccentColor,Id,SuggestedFilename
"Smoky Roasted Red Pepper Hummus","حمص بالفلفل الأحمر المشوي المدخن","Appetizers","165","25","#64748b","cms6e2ant00a8c71g63w17cih","recipe-cms6e2ant00a8c71g63w17cih.png"
"Baked Zucchini Fritters with Herbed Yogurt","كفتة كوسة في الفرن مع زبادي بالأعشاب","Appetizers","190","40","#0d9488","cms6e2ao000aac71gley8apqv","recipe-cms6e2ao000aac71gley8apqv.png"
"Spiced Chickpea and Sweet Potato Bites","كور الحمص والبطاطا بالبهارات","Appetizers","175","45","#db2777","cms6e2ao700acc71gkawmuawc","recipe-cms6e2ao700acc71gkawmuawc.png"
"Cucumber Cups with Whipped Feta","كاسات خيار بجبنة فيتا مخفوقة","Appetizers","140","15","#0d9488","cms6e2aod00aec71gba1bx68m","recipe-cms6e2aod00aec71gba1bx68m.png"
"Edamame and Avocado Smash Toasts","توست بمهروس الإدامامي والأفوكادو","Appetizers","210","15","#0d9488","cms6e2aon00agc71gs5ms15ur","recipe-cms6e2aon00agc71gs5ms15ur.png"
"Stuffed Mini Peppers with Herbed Ricotta","فلفل صغير محشي ريكوتا بالأعشاب","Appetizers","110","29","#0d9488","cms6e2aoz00aic71gf9mfydtg","recipe-cms6e2aoz00aic71gf9mfydtg.png"
"Golden Lentil and Turmeric Soup","شوربة العدس الذهبي بالكركم","Soups","320","40","#f97316","cms6e2apd00alc71gm6avfuh7","recipe-cms6e2apd00alc71gm6avfuh7.png"
"Roasted Tomato and White Bean Soup","شوربة الطماطم المشوية والفاصوليا البيضا","Soups","240","55","#f97316","cms6e2apk00anc71g0t7s3sh5","recipe-cms6e2apk00anc71g0t7s3sh5.png"
"Ginger Chicken and Bok Choy Broth","شوربة فراخ بالجنزبيل والبوك تشوي","Soups","210","40","#f97316","cms6e2apv00apc71gppnal49t","recipe-cms6e2apv00apc71gppnal49t.png"
"Creamy Roasted Cauliflower Soup","شوربة القرنبيط المشوي الكريمية","Soups","180","55","#f97316","cms6e2aq300arc71gsi5ftvr2","recipe-cms6e2aq300arc71gsi5ftvr2.png"
"Hearty Barley and Vegetable Soup","شوربة الشعير والخضار المشبعة","Soups","220","60","#ef4444","cms6e2aqe00atc71gowps39jt","recipe-cms6e2aqe00atc71gowps39jt.png"
"Spicy Black Bean and Corn Soup","شوربة الفاصوليا السودا والذرة الحرّة","Soups","300","37","#f97316","cms6e2aql00avc71gzfhwauqo","recipe-cms6e2aql00avc71gzfhwauqo.png"
"Whole-Wheat Seeded Sandwich Loaf","عيش سندويتش قمح كامل بالبذور","Breads","165","60","#ca8a04","cms6e2ar100ayc71g1p7t1clt","recipe-cms6e2ar100ayc71g1p7t1clt.png"
"Oat and Banana Breakfast Bread","كيك فطار الشوفان والموز","Breads","195","65","#ca8a04","cms6e2ara00b0c71gm9sa2miv","recipe-cms6e2ara00b0c71gm9sa2miv.png"
"No-Knead Whole-Grain Focaccia","فوكاتشيا حبوب كاملة من غير عجن","Breads","185","45","#ca8a04","cms6e2ark00b2c71gfq4gqzzl","recipe-cms6e2ark00b2c71gfq4gqzzl.png"
"Spelt and Yogurt Flatbreads","خبز مسطّح بالقمح المقشّر والزبادي","Breads","175","30","#ca8a04","cms6e2arv00b4c71gsfa61u1i","recipe-cms6e2arv00b4c71gsfa61u1i.png"
"Rye and Caraway Soda Bread","عيش الصودا بالشيلم والكراوية","Breads","150","52","#ca8a04","cms6e2as400b6c71gwbo4fq7q","recipe-cms6e2as400b6c71gwbo4fq7q.png"
"Sweet Potato Dinner Rolls","عيش صغير بالبطاطا للعشا","Breads","175","45","#ca8a04","cms6e2asb00b8c71gqgkuhnz9","recipe-cms6e2asb00b8c71gqgkuhnz9.png"
"Quinoa Tabbouleh with Herbs","تبولة الكينوا بالأعشاب","Vegetarian Salads","230","35","#16a34a","cms6e2asv00bbc71gi6dnpksr","recipe-cms6e2asv00bbc71gi6dnpksr.png"
"Roasted Beet and Lentil Salad","سلطة البنجر المشوي والعدس","Vegetarian Salads","320","45","#16a34a","cms6e2at700bdc71gw1y34ut2","recipe-cms6e2at700bdc71gw1y34ut2.png"
"Chickpea and Avocado Power Salad","سلطة الحمص والأفوكادو المشبعة","Vegetarian Salads","285","15","#16a34a","cms6e2atg00bfc71gfkia86q1","recipe-cms6e2atg00bfc71gfkia86q1.png"
"Kale and Apple Crunch Salad","سلطة الكيل والتفاح المقرمشة","Vegetarian Salads","240","15","#16a34a","cms6e2atr00bhc71g0zmo4m1y","recipe-cms6e2atr00bhc71g0zmo4m1y.png"
